li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
0.009248601,0.109736482,-0.002746601,0.000916312,0.006709787,-0.008033027,0.007012693,-0.01677773,0.011158618,-0.022284191,0.005738905,-0.018079361
0.019607843,0.108974359,0,-0.038461538,0,0,0,0,0.041666667,-0.04,0.021276596,-0.06
0.042857143,0.108675799,0,-0.04109589,0.002898551,-0.014285714,0.014705882,-0.01734104,0.024316109,-0.046376812,0.008947856,-0.038278932
0.020779221,0.108001131,-0.031066331,0.010178117,0.08440367,-0.055459272,0.021636877,-0.100676819,0.050098232,-0.062615101,0.035532995,-0.07857811
0,0.107045059,-0.03661163,0.040328603,0.076625387,-0.037257824,0.012480499,-0.078360891,0.024,-0.036979969,0.157699443,-0.1578125
0.016949153,0.105555556,-0.016949153,-0.016666667,0,0,0.036363636,-0.051724138,0.018181818,-0.035087719,0.018181818,-0.017857143
0.001694915,0.105470953,-0.003401361,-0.005076142,0.001709402,-0.001706485,0.022687609,-0.0221843,0.016100179,-0.046075085,0.04283054,-0.054577465
0.057591623,0.103960396,-0.020512821,-0.034653465,0.054054054,-0.031413613,0.076470588,-0.128205128,0.08974359,-0.147540984,0.096551724,-0.147058824
0.027896996,0.103688239,-0.017021277,-0.018789144,0.06741573,-0.036796537,0.037383178,-0.098947368,0.026315789,-0.058558559,0.021791768,-0.037296037
0,0.102564103,0,0,0,0,0,0,0,0,0,0.076923077
0,0.102564103,0,0,0,0,0,0,0,0,0,0
0.022292994,0.101765317,-0.003154574,-0.012461059,0.0208,-0.011075949,0.017886179,-0.036050157,0.019933555,-0.038338658,0.030508475,-0.039087948
0.021653543,0.101477157,0,-0.023763648,0.001981506,-0.003947368,0.00464191,-0.005932762,0.000665336,-0.007920792,0.002672011,-0.004654255
0.054216867,0.100952381,-0.01183432,-0.034285714,0.05,-0.041916168,0.019230769,-0.071428571,0.046666667,-0.056603774,0.020547945,-0.070063694
0,0.100456621,0,0,0.029411765,-0.068493151,0,-0.042857143,0.03125,-0.044776119,0.015873016,-0.045454545
0.007547169,0.100031159,-0.021077283,-0.000468212,0.029836332,-0.005741579,0.000969041,-0.035514065,0.013119534,-0.003872217,0.022862772,-0.035011942
0.019011407,0.099502488,-0.047101449,0.029850746,0.12244898,-0.068441065,0.121495327,-0.221818182,0.10952381,-0.125,0.016759777,-0.231759657
0.184738956,0.099435028,-0.023255814,-0.125423729,0.083333333,-0.047619048,0.021097046,-0.088461538,0.039130435,-0.049586777,0.008695652,-0.037656904
0.024096386,0.099346405,-0.019455253,0.007843137,0.048582996,-0.01984127,0.010526316,-0.083011583,0.015086207,-0.033333333,0.107228916,-0.118895966
0.030401737,0.098700386,-0.002169197,-0.028451001,0.05,-0.043478261,0.02301496,-0.05952381,0.013856813,-0.025871766,0.001150748,-0.010250569
0.046153846,0.098039216,-0.04379562,0.007352941,0.015503876,-0.015267176,0.058823529,-0.091603053,0.22,-0.206349206,0.021400778,-0.157377049
0.002702703,0.09703504,-0.127906977,0.15902965,0.16056338,-0.053333333,0,-0.191747573,0.026666667,-0.099099099,0.027681661,-0.061688312
0.007352941,0.096836983,-0.014430014,0.011678832,0.036036036,-0.02489019,0.00753012,-0.037681159,0.004531722,-0.010463378,0.001506024,-0.001503759
0.005524862,0.096336996,-0.005524862,-0.005494505,0.040935673,-0.05,0.017751479,-0.050561798,0.030120482,-0.034883721,0,-0.029239766
0.0029615,0.096128609,-0.00591716,-0.001968504,0.005952381,0,0.00297619,-0.00591716,0.037267081,-0.044510386,0.008376963,-0.046906188
0,0.095923261,0,0,0,0,0.007246377,-0.007194245,0.00729927,-0.014388489,0.014814815,-0.02173913
0.018899389,0.095471904,-0.076292879,0.065466503,0.161818182,-0.085365904,0.061078622,-0.197183099,0.023489933,-0.087568892,0.002035278,-0.033442623
0.038227628,0.09539749,-0.007765315,-0.030125523,0.106741573,-0.071304348,0.051434224,-0.144670051,0.041407867,-0.091251176,0.026737968,-0.070576541
0,0.095238095,0,0,0,0,0,0,0,0,0,0
0.001812285,0.095145821,-0.007168523,0.009432795,0.017436617,-0.009154203,0.007083746,-0.025067131,0.006207912,-0.013807451,0.008689759,-0.018114951
0.000953289,0.095079349,-0.004739336,0.004761905,0.024769305,-0.01952381,0.015647872,-0.03080564,0.009871619,-0.024554646,0.016434263,-0.018572777
0.011424934,0.094753435,-0.001892549,-0.016199107,0.019130744,-0.015422558,0.012863471,-0.040189008,0.015498218,-0.025853729,0.024070911,-0.03943148
0.039393939,0.094266278,-0.003076923,-0.052478134,0.003115265,-0.009259259,0.045602606,-0.046583851,0.01320132,-0.056074766,0.003333333,-0.022801303
0.01843318,0.093514329,0,-0.018099548,0.018518519,-0.004608295,0.018867925,-0.036363636,0.023809524,-0.027777778,0,-0.009302326
0.025242718,0.09280303,-0.037878788,0,0.06,-0.015748031,0,-0.056603774,0,0,0.041666667,-0.04
0,0.092753623,0,0,0,0,0,0,0,0,0,0
