li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
-0.018382353,0.026217228,0.014814815,0.011235955,-0.046428571,0.02189781,-0.031468531,0.071161049,-0.006896552,0.046931408,-0.15890411,0.267361111
-0.040588294,0.026364236,0.001182732,0.036787311,-0.034285714,0.033668045,-0.045652228,0.088757396,-0.050103407,0.102505814,-0.046637258,0.107667325
0,0.003241491,0.004058442,-0.001620746,-0.003984064,0.014551334,-0.003581377,0.0052,-0.004761905,0.006389776,-0.027993779,0.025518341
-0.010638298,-0.065710872,0.032142857,0.003584229,-0.106451613,0.07266436,-0.036809816,0.176895307,-0.038348083,0.079617834,-0.031428571,0.073619632
-0.03902439,0.109137056,0.010126582,0.002538071,-0.053658537,0.027568922,-0.050925926,0.113402062,-0.090526316,0.158536585,-0.011185682,0.034722222
-0.133928571,0.017182131,0.036363636,0.134020619,-0.096828047,0.050877193,-0.081300813,0.136783734,-0.009677419,0.097345133,-0.03125,0.042345277
-0.001218027,0.032113821,0.021144279,-0.019512195,0,0.023142509,-0.044444444,0.071428571,-0.022222222,0.046511628,-0.175925926,0.227272727
-0.05,-0.024561404,0.029473684,0,-0.167619048,0.073619632,-0.090909091,0.258581236,-0.043478261,0.15,-0.043478261,0.045454545
0,-0.072463768,0,0.043478261,0,-0.041666667,-0.020833333,0.043478261,0,0.021276596,0,-0.041666667
-0.041666667,0.014492754,0,0,-0.041666667,0.043478261,0,0.043478261,-0.020833333,0,-0.041666667,0.021276596
-0.041666667,0,0,0.043478261,-0.020833333,0,-0.041666667,0.021276596,0,0.043478261,0,0
-0.04,0.07,0,0,0,0.041666667,0,0,0,0,0,0
-0.076923077,0.055555556,0.003846154,0.083333333,-0.037037037,0.034482759,-0.037037037,0.038461538,0,0.038461538,-0.049295775,0.051851852
-0.049295775,-0.024691358,0,0.037037037,-0.034482759,0.035714286,-0.034482759,0.035714286,-0.029451138,0.067142857,-0.003436426,0.003448276
0,-0.03125,0,0.03125,-0.029411765,0.03030303,-0.028571429,0.060606061,-0.027777778,0.058823529,-0.027027027,0.057142857
0,-0.026666667,0,0,0,0,-0.038461538,0.04,0,0.04,-0.038461538,0
0,-0.013333333,0,0,-0.038461538,0.04,0,0.04,-0.038461538,0,0,0.04
-0.115384615,0.043478261,0,0.086956522,0,0.04,-0.038461538,0,0,0.08,0,-0.074074074
-0.037037037,0,0.083333333,-0.076923077,-0.060606061,0.269230769,-0.028571429,0.129032258,0,0.029411765,0,0.028571429
0,0.01754386,0,0,-0.051282051,0.026315789,-0.048780488,0.108108108,0,0.076923077,-0.129583333,0.142857143
-0.142857143,0.136851852,0.023809524,0.166666667,-0.085106383,0.093023256,-0.235,0.395348837,-0.090909091,0.437908497,-0.018733274,0.121
-0.03526971,0.033870968,0.025388601,0.037634409,-0.020618557,-0.019706923,-0.03707518,0.022105263,-0.030612245,0.048128342,-0.095215538,0.111052632
-0.004784689,0.096153846,0.080038573,-0.002884615,-0.044247788,0.008928571,-0.062233589,0.086111111,-0.113877551,0.113636364,-0.027777778,0.160755412
-0.012987013,0.00877193,0.03150315,-0.025438596,-0.037974684,0.034031414,0,0.039473684,-0.0125,0.012658228,-0.020325203,0.037974684
-0.007905138,0.002656042,0,0.003984064,-0.041044776,0.063492063,-0.029850746,0.042801556,-0.085106383,0.084615385,-0.062913907,0.170542636
-0.008333333,-0.040429505,0,0.01092437,-0.000550964,0.005818786,-0.034852547,0.028114664,-0.048101266,0.097222222,-0.005681818,-0.063829787
0,-0.022840828,0.00043956,-0.025695931,-0.064254523,0.056458699,0,0.081555556,0,0,0,-0.054859256
0,0.015185185,0.009657594,0.012444444,0,0.034782609,-0.036437247,0.037815126,-0.040776699,0.081932773,-0.04296875,0.036437247
0,-0.068112316,0.017826825,-0.017514595,-0.006622517,0.007506255,-0.039735099,0.006666667,-0.011456628,0.053448276,0,-0.004966887
-0.014592556,-0.009983361,0,0.031613977,0,0.043548387,-0.035222052,0.00927357,-0.072727273,0.047619048,-0.019847328,0.070261438
0,-5.71E-05,0.042321429,-0.04060305,0,0.014219633,0,0,0,0.007094595,0,-0.05904059
0,0.057754011,0,0,0,0,0,0,0,0,0,0
0,0.039334522,0,0,0,0,0,0,0,0,0,0
0,0.020915033,0,0,0,0,0,0,0,0,0,-0.001782531
0,-1.59E-16,0,-0.051785714,-0.117940199,0.133709981,0,0.13559322,0,0,-0.059282371,0.063018242
-0.117940199,0.036409291,0,0.13559322,0,0,-0.059282371,0.063018242,-0.007751938,0.069651741,0,0
-0.06678487,-0.017521638,0.001776258,0.069664281,-0.021424435,0.020685579,-0.0693922,0.1,-0.034968685,0.107514515,-0.011488251,0.03569497
-0.001261034,-0.007575758,0.007731959,-0.02020202,-0.018796992,0.020460358,-0.023058252,0.052362708,-0.016826923,0.033540373,-0.047675805,0.025672372
-0.01826484,0.026356589,0.102941176,-0.051162791,-0.057142857,0.011111111,-0.048625793,0.102564103,-0.070175439,0.14,-0.00965251,0.085953878
-0.004524887,-0.015151515,0.01627907,-0.022727273,-0.051224944,0.027459954,-0.028953229,0.05399061,-0.010964912,0.04587156,-0.050632911,0.050997783
-0.023255814,-0.03968254,0.011764706,0.011904762,-0.023255814,0,-0.065217391,0.095238095,-0.02173913,0.069767442,-0.010869565,0.022222222
-0.05100306,-0.063895868,0.010947622,0.047294876,-0.004049916,0.002707276,-0.019801915,0.026770552,-0.065191025,0.110437673,-0.061823744,0.049302562
-0.017316017,-0.033773862,0.022222222,-0.008810573,-0.032258065,0.010869565,-0.030674847,0.086666667,-0.010121457,0.042194093,-0.040776699,0.053169734
-0.090909091,0,0.015151515,0.081967213,-0.011940299,0,-0.028985507,0.042296073,-0.021428571,0.044776119,-0.042857143,0.02189781
-0.057971014,-0.051282051,0.02962963,0.038461538,-0.075342466,0.050359712,-0.051948052,0.140740741,-0.009677419,0.061643836,-0.006410256,0.016286645
-0.031007752,0.032,0.040983607,-0.024,-0.054263566,0.015748031,-0.015384615,0.06557377,-0.065693431,0.0703125,-0.021428571,0.09375
-0.025485437,-0.00456621,0.044699872,-0.0249066,-0.051620648,0.018337408,-0.008373206,0.058227848,-0.057954545,0.061519903,-0.018952062,0.082026538
-0.080679406,0.018475751,0.00212766,0.085450346,-0.004246285,0,-0.065217391,0.078891258,-0.073170732,0.126849894,-0.031539889,0.091093117
-0.002673797,-0.071492404,0.013513514,-0.008042895,-0.067669173,0.064,-0.064285714,0.129032258,-0.002380952,0.06870229,-0.016706444,0
0,-0.030640669,0.080357143,-0.064066852,-0.063888889,-0.008264463,-0.07253886,0.145400593,-0.01511335,0.108938547,-0.01965602,0.040920716
-0.011086475,-0.047085202,0.043879908,-0.029147982,-0.050772627,0.002212389,-0.027659574,0.093023256,-0.0703125,0.120350109,-0.019047619,0.102941176
