,code,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2051,300101,4.157,13.03,12.5,13.11,12.46,12.51,10001937.0,1.8197200000000002,128052652.0,237.341,7.675,724468.0,716181.968915
2052,300100,0.678,10.39,10.15,10.48,9.98,10.32,2494176.0,0.64522,25422834.0,22.587,1.487,416399.246594,401636.901858
2053,300099,2.439,4.62,4.51,4.66,4.45,4.51,3119781.0,0.6245700000000001,14229137.0,30.019,1.787,309207.01581,230774.754672
2054,300098,2.335,7.45,7.28,7.48,7.05,7.28,11840374.0,1.33572,86387601.0,19.605,1.687,1317584.6202,660397.674095
2055,300097,3.461,16.74,16.28,16.86,15.78,16.18,2883920.0,2.14127,47143989.0,27.0,2.395,483032.145906,225459.052398
2056,300096,1.394,8.73,8.53,8.78,8.42,8.61,1928478.0,0.5121800000000001,16648438.0,207.857,5.309,375390.0,328703.774967
2057,300095,-0.79,6.28,6.32,6.38,6.19,6.33,1604815.0,0.70416,10090275.0,45.906,1.814,237830.416312,143123.712
2058,300094,-2.384,6.96,7.18,7.18,6.61,7.13,18123897.0,2.42802,124901277.0,38.667,2.678,545904.55152,519526.949136
2059,300093,2.137,6.69,6.46,6.72,6.46,6.55,2677201.0,1.24403,17700036.0,83.625,1.6099999999999999,144504.0,143971.894125
2060,300092,3.71,6.15,5.93,6.21,5.9,5.93,846985.0,0.50687,5123393.0,234.733,2.6630000000000003,146071.23423,102767.79396
2061,300091,-7.659,12.66,13.57,13.57,12.34,13.71,9828550.0,2.61926,121730697.0,54.079,4.765,703388.2074,475056.497334
2062,300090,0.0,0.0,0.0,0.0,0.0,8.32,0.0,0.0,0.0,-8.33,2.864,1098200.831104,729667.546816
2063,300089,-9.661,6.92,7.53,7.66,6.89,7.66,17600527.0,6.12361,123242614.0,40.706,1.645,338967.388072,198895.286328
2064,300088,1.266,5.6,5.57,5.65,5.34,5.53,28543665.0,1.2617099999999999,157717113.0,23.333,2.86,1287372.69584,1266889.98016
