,ds,y
403,2007-08-10,15.825997000000001
404,2007-08-13,16.179232
405,2007-08-14,15.703184
406,2007-08-15,15.180295000000001
407,2007-08-16,14.819460000000001
408,2007-08-17,15.45377
409,2007-08-20,15.474027
410,2007-08-21,16.151379000000002
411,2007-08-22,16.776823
412,2007-08-23,16.594507
413,2007-08-24,17.130054
414,2007-08-27,16.743906
415,2007-08-28,16.056421
416,2007-08-29,16.975594
417,2007-08-30,17.250334
418,2007-08-31,17.532669
419,2007-09-04,18.251808
420,2007-09-05,17.314901000000003
421,2007-09-06,17.093346
422,2007-09-07,16.683128
423,2007-09-10,17.308571
424,2007-09-11,17.15411
425,2007-09-12,17.326302
426,2007-09-13,17.370613
427,2007-09-14,17.574455
428,2007-09-17,17.523808
429,2007-09-18,17.841591
430,2007-09-19,17.822607
431,2007-09-20,17.764362
432,2007-09-21,18.250532
433,2007-09-24,18.773432
434,2007-09-25,19.393808
435,2007-09-26,19.341904
436,2007-09-27,19.560926000000002
437,2007-09-28,19.430525
438,2007-10-01,19.793885999999997
439,2007-10-02,20.061031
440,2007-10-03,19.993925
441,2007-10-04,19.781229
442,2007-10-05,20.440857
443,2007-10-08,21.258745
444,2007-10-09,21.252415
445,2007-10-10,21.116947
446,2007-10-11,20.53961
447,2007-10-12,21.175179
448,2007-10-15,21.140999
449,2007-10-16,21.470182
450,2007-10-17,21.871525
451,2007-10-18,21.966484
452,2007-10-19,21.576527
453,2007-10-22,22.075369
454,2007-10-23,23.569338000000002
455,2007-10-24,23.540218
456,2007-10-25,23.141403
457,2007-10-26,23.384495
458,2007-10-29,23.433870000000002
459,2007-10-30,23.675686
460,2007-10-31,24.049175
461,2007-11-01,23.731398000000002
462,2007-11-02,23.785839000000003
463,2007-11-05,23.571875
464,2007-11-06,24.282139
465,2007-11-07,23.587069
466,2007-11-08,22.2159
467,2007-11-09,20.937157
468,2007-11-12,19.467236
469,2007-11-13,21.51829
470,2007-11-14,21.030853
471,2007-11-15,20.801689
472,2007-11-16,21.066295999999998
473,2007-11-19,20.757378
474,2007-11-20,21.377758
475,2007-11-21,21.328375
476,2007-11-23,21.718329999999998
477,2007-11-26,21.84494
478,2007-11-27,22.132339
479,2007-11-28,22.817289000000002
480,2007-11-29,23.332582000000002
481,2007-11-30,23.070503
482,2007-12-03,22.645098
483,2007-12-04,22.765379
484,2007-12-05,23.485782999999998
485,2007-12-06,24.049175
486,2007-12-07,24.599937
487,2007-12-10,24.588531
488,2007-12-11,23.870667
489,2007-12-12,24.164398000000002
490,2007-12-13,24.287203
491,2007-12-14,24.104891000000002
492,2007-12-17,23.346508
493,2007-12-18,23.166719
494,2007-12-19,23.184456
495,2007-12-20,23.702276
496,2007-12-21,24.550552
497,2007-12-24,25.169666
498,2007-12-26,25.188655999999998
499,2007-12-27,25.140545
500,2007-12-28,25.300072
501,2007-12-31,25.078506
502,2008-01-02,24.668295
503,2008-01-03,24.679693
504,2008-01-04,22.795767
505,2008-01-07,22.490635
506,2008-01-08,21.681614
507,2008-01-09,22.71347
508,2008-01-10,22.538744
509,2008-01-11,21.863926
510,2008-01-14,22.634975
511,2008-01-15,21.401808
512,2008-01-16,20.211693
513,2008-01-17,20.369954999999997
514,2008-01-18,20.429461
515,2008-01-22,19.705267000000003
516,2008-01-23,17.60737
517,2008-01-24,17.168043
518,2008-01-25,16.4603
519,2008-01-28,16.4603
520,2008-01-29,16.654013
521,2008-01-30,16.735043
522,2008-01-31,17.137657
523,2008-02-01,16.933817
524,2008-02-04,16.667938
525,2008-02-05,16.378006
526,2008-02-06,15.446174
527,2008-02-07,15.349954
528,2008-02-08,15.886764999999999
529,2008-02-11,16.389402
530,2008-02-12,15.808270000000002
531,2008-02-13,16.383066
532,2008-02-14,16.137453
533,2008-02-15,15.77915
534,2008-02-19,15.468962
535,2008-02-20,15.676597000000001
536,2008-02-21,15.387935
537,2008-02-22,15.124587
538,2008-02-25,15.160041
539,2008-02-26,15.085339000000001
540,2008-02-27,15.567714000000002
541,2008-02-28,16.447639000000002
542,2008-02-29,15.828528
543,2008-03-03,15.411985000000001
544,2008-03-04,15.777882
