,code,mbrg2018_1,nprg2018_1,nav2018_1,targ2018_1,epsg2018_1,seg2018_1,mbrg2017_2,nprg2017_2,nav2017_2,targ2017_2,epsg2017_2,seg2017_2,mbrg2017_3,nprg2017_3,nav2017_3,targ2017_3,epsg2017_3,seg2017_3,mbrg2017_4,nprg2017_4,nav2017_4,targ2017_4,epsg2017_4,seg2017_4,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
1572,002839,,12.0916,5.785,7.3304,8.3333,6.0205,,3.8574,11.925999999999998,12.1874,0.0,12.142999999999999,,6.5753,,,-3.125,,,8.4062,12.6205,14.4097,2.381,12.997,1.34,6.05,5.94,6.07,5.91,5.97,20755403.0,2.47208,124321089.0,14.07,1.263,1093553.632325,507952.83088
1573,002818,9.2221,12.0019,11.3418,11.5,11.1111,11.3418,1.7666,16.7174,52.7305,23.8841,5.4795,52.7305,3.8342,17.1841,50.9081,23.939,5.5046,50.9081,3.0623,17.1283,11.3143,9.4864,7.2464,11.3143,2.079,26.51,25.71,26.58,25.5,25.97,2581230.0,2.8204000000000002,67119986.0,17.912,2.6390000000000002,1179862.013,242619.52
1574,002918,5.507000000000001,11.9488,,,-17.1429,,,,,,,,31.3803,72.3973,,,72.4138,,24.3284,29.4952,179.9802,64.7077,29.4416,179.9802,0.615,24.54,23.71,24.8,23.46,24.39,2415162.0,4.08346,58317266.0,9.624,1.71,580567.32,145141.83
1575,600398,12.1594,11.9408,10.9261,8.6849,13.6364,11.3942,5.5939,5.7857,12.8879,3.7128,7.6923,13.1942,3.4047,4.0717,10.2867,2.175,3.7037,11.0529,7.0619,6.6022,10.5678,2.9598,5.7143,11.2836,1.964,12.46,12.31,12.55,12.22,12.22,11331465.0,0.25222,140221062.0,16.838,4.5440000000000005,5597976.373304,5597976.373304
1576,002683,19.097,11.9142,6.0089,9.6676,-3.7594,4.3132,47.5241,1396.0608,3.1849,8.3531,1690.625,3.2513,29.4183,224.9346,6.327999999999999,10.562000000000001,229.9781,3.3759,24.0636,167.5014,5.9221,12.7772,155.5556,4.3847,0.671,9.0,9.04,9.12,8.74,8.94,6437735.0,1.08047,57647379.0,39.13,2.101,631339.1847,536244.1839
1577,000524,10.2019,11.887,165.8923,30.8583,-9.5238,170.9502,1945.5896,295.3315,312.6946,452.0702,51.8987,308.3971,2080.8408,408.4747,314.3812,457.8074,94.4444,309.3072,2011.1313,504.892,313.553,420.3267,154.5455,308.9604,1.598,8.9,8.76,8.93,8.71,8.76,562700.0,0.20659000000000002,4964054.0,31.786,2.308,596485.65133,242409.22702
1578,002433,-11.0014,11.8191,6.018,16.5163,0.0,5.8854,13.992,30.761999999999997,5.5057,14.0542,36.3636,5.4346,2.362,23.3406,5.6246,21.2305,28.5714,5.5937,5.3161,16.3849,6.0025,18.5457,18.75,5.8841,0.81,7.47,7.36,7.54,7.28,7.41,6936900.0,1.00315,51539698.0,19.658,1.157,574373.6784,516557.97
1579,000599,-9.96,11.7495,38.1842,16.518,-25.0,39.1844,-15.7084,-4.6163,2.8689,13.2924,0.0,3.2976,-17.9388,26.4228,3.4254,6.7674,33.3333,4.1199,-18.872,30.8518,3.9539,15.6089,14.2857,4.2524,0.0,4.96,4.96,5.03,4.69,4.96,4625900.0,0.7366600000000001,22627233.0,31.0,1.113,414471.313904,311466.842624
1580,600776,13.3598,11.6315,1.5213,-1.0589,10.126,1.4929,-18.0594,11.7188,0.893,4.4103,12.1094,0.9024,-14.3775,4.4633,0.7936,-0.0247,2.4882,0.7486,23.0773,29.8023,1.4613,-1.9451,29.013,1.4386,-0.426,4.68,4.67,4.74,4.33,4.7,9048332.0,0.9464800000000001,41556382.0,49.734,1.932,587808.029952,447408.029952
1581,000411,13.5368,11.5602,11.5882,20.0589,8.6914,10.7742,10.0314,11.4,12.5042,29.0656,5.2632,12.2807,9.0727,6.2655,12.8965,21.2112,1.217,11.6054,9.5612,-0.2229,12.2817,30.0015,-4.7619,11.1624,1.906,22.46,22.0,22.7,21.67,22.04,234432.0,0.11308000000000001,5176603.0,56.15,5.399,465932.578716,465638.633466
