,x,y,yd1,yvals
2090,891964800,0.7913,-2.4200244135053636e-08,1.4106542966181337
2091,892051200,0.811082,-2.419738160313748e-08,1.4085635189632626
2092,892396800,0.8368,-2.4185621822509812e-08,1.4002029217027143
2093,892483200,0.852626,-2.4182604464112134e-08,1.3981134141039888
2094,892569600,0.868452,-2.417955614041866e-08,1.3960241685429082
2095,892656000,0.906038,-2.4176476851428754e-08,1.3939351876946944
2096,892742400,0.8842780000000001,-2.417336659714284e-08,1.3918464742347965
2097,893001600,0.917908,-2.4163850042506935e-08,1.3855819649386945
2098,893088000,0.917908,-2.4160615927036354e-08,1.38349434778587
2099,893174400,0.8704299999999999,-2.415735084626892e-08,1.381407011398096
2100,893260800,0.8763639999999999,-2.4154054800205687e-08,1.3793199584514468
2101,893347200,0.8842780000000001,-2.4150727788846024e-08,1.377233191620462
2102,893606400,0.878343,-2.414056096299014e-08,1.3709746345786584
2103,893692800,0.852626,-2.4137110090445597e-08,1.3688890389661879
2104,893779200,0.8546040000000001,-2.4133628252605048e-08,1.3668037428468551
2105,893865600,0.8664729999999999,-2.4130115449468066e-08,1.3647187488959958
2106,893952000,0.8862559999999999,-2.4126571681035077e-08,1.362634059789059
2107,894211200,0.919886,-2.4115754583958367e-08,1.3563818482853662
2108,894297600,0.939669,-2.411208695434071e-08,1.3542984053079863
2109,894384000,0.959451,-2.41083883594262e-08,1.3522152805515475
2110,894470400,0.955494,-2.4104658799216104e-08,1.3501324766913285
2111,894556800,0.963408,-2.4100898273709365e-08,1.3480499964027217
2112,894816000,0.979233,-2.4089430905412466e-08,1.3418045237215779
2113,894902400,0.953516,-2.408554651872085e-08,1.3397233644739686
2114,894988800,0.963408,-2.4081631166733435e-08,1.3376425421750469
2115,895075200,0.951538,-2.4077684849449378e-08,1.3355620595000346
2116,895161600,0.935712,-2.4073707566869524e-08,1.3334819191245515
2117,895420800,0.902082,-2.40615899273518e-08,1.327243578549826
2118,895507200,0.929777,-2.4057488783587068e-08,1.3251648341266105
2119,895593600,0.935712,-2.4053356674525692e-08,1.3230864453797722
2120,895680000,0.913951,-2.4049193600168098e-08,1.3210084149849877
2121,895766400,0.8822989999999999,-2.4044999560514707e-08,1.3189307456173651
2122,896112000,0.8447129999999999,-2.402791374893831e-08,1.3106237319287857
2123,896198400,0.846691,-2.4023564882803397e-08,1.308547907828995
2124,896284800,0.868452,-2.4019185051372688e-08,1.3064724608087772
2125,896371200,0.842734,-2.4014774254645336e-08,1.3043973935438657
2126,896630400,0.830865,-2.400135607268702e-08,1.2981744970338127
2127,896716800,0.8506469999999999,-2.3996821414775e-08,1.296100975543311
2128,896803200,0.832843,-2.3992255791566973e-08,1.2940278471849638
2129,896889600,0.848669,-2.3987659203062514e-08,1.2919551146343338
2130,896976000,0.8506469999999999,-2.3983031649262047e-08,1.2898827805668134
2131,897235200,0.862517,-2.3968963196082905e-08,1.2836681960149008
2132,897321600,0.8941690000000001,-2.396421178109756e-08,1.2815974826330034
2133,897408000,0.888234,-2.3959429400815783e-08,1.2795271811111206
2134,897494400,0.8803209999999999,-2.3954616055237998e-08,1.277457294124531
2135,897580800,0.8902120000000001,-2.3949771744363782e-08,1.2753878243485701
2136,897840000,0.8704299999999999,-2.393505301996445e-08,1.2691819450394064
2137,897926400,0.8862559999999999,-2.3930084847905355e-08,1.2671141708606228
2138,898012800,0.8902120000000001,-2.3925085710550252e-08,1.2650468272696571
2139,898099200,0.8644950000000001,-2.3920055607898718e-08,1.2629799169416742
2140,898185600,0.856582,-2.3914994539951387e-08,1.260913442552237
2141,898444800,0.8664729999999999,-2.389962554433123e-08,1.2547166617696348
2142,898531200,0.8803209999999999,-2.389444061519881e-08,1.2526519578887019
2143,898617600,0.8941690000000001,-2.3889224720770168e-08,1.2505877033231627
2144,898704000,0.90406,-2.3883977861045307e-08,1.248523900748637
2145,898790400,0.892191,-2.3878700036024227e-08,1.2464605528404604
2146,899049600,0.908016,-2.3862680769183668e-08,1.2402732638686302
2147,899136000,0.908016,-2.385727908297771e-08,1.2382117613800006
2148,899222400,0.947582,-2.3851846431475742e-08,1.2361507269347385
2149,899308800,0.917908,-2.3846382814677132e-08,1.2340901632082932
2150,899654400,0.961429,-2.3824218694521554e-08,1.2258526689988685
2151,899740800,0.965386,-2.381860025124227e-08,1.2237944989973926
2152,899827200,1.030668,-2.381295084266634e-08,1.2217368157671444
2153,899913600,1.002973,-2.3807270468794828e-08,1.219679621983687
2154,900000000,1.014842,-2.380155912962646e-08,1.2176229203220146
2155,900259200,1.0741889999999998,-2.3784239320345098e-08,1.21145579482328
